Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"CRISBELT_PLC01_MCC01_FCC01_SIGNAL_1","DB200.DBD14",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC01_SIGNAL_2","DB200.DBD18",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC02_SIGNAL_1","DB200.DBD22",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC02_SIGNAL_2","DB200.DBD26",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC03_SIGNAL_1","DB200.DBD30",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC03_SIGNAL_2","DB200.DBD34",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC04_SIGNAL_1","DB200.DBD38",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC04_SIGNAL_2","DB200.DBD42",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC05_SIGNAL_1","DB200.DBD46",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_FCC05_SIGNAL_2","DB200.DBD50",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Box Powerbox_4",
"CRISBELT_PLC01_MCC01_LINE_CM","DB200.DBW96",Word,1,R/W,100,,,,,,,,,,"Conveyor Conveyor_Line Subsystem2",
"CRISBELT_PLC01_MCC01_LINE_SIGNAL_1","DB200.DBW94",Word,1,R/W,100,,,,,,,,,,"Conveyor Conveyor_Line Subsystem2",
"CRISBELT_PLC01_MCC01_MCC01_SIGNAL_1","DB200.DBD6",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Panel PowerPanel_2",
"CRISBELT_PLC01_MCC01_MCC01_SIGNAL_2","DB200.DBD10",DWord,1,R/W,100,,,,,,,,,,"Conveyor Power Panel PowerPanel_2",
"CRISBELT_PLC01_MCC01_ONE_KEY_START_CM","DB200.DBW88",Word,1,R/W,100,,,,,,,,,,"Conveyor Conveyor_Line Subsystem2",
"CRISBELT_PLC01_MCC01_ONE_KEY_START_SIGNAL_1","DB200.DBW86",Word,1,R/W,100,,,,,,,,,,"Conveyor Conveyor_Line Subsystem2",
"CRISBELT_PLC01_PLC_PLC01_SIGNAL_1","DB200.DBW4",Word,1,R/W,100,,,,,,,,,,"Conveyor PLC PLC",
